state,rate.single,bracket.single,rate.joint,bracket.joint
"""Alabama""",2,> 0,2,> 0
"""Alabama""",4,> 500,4,> 1000
"""Alabama""",5,> 3000,5,> 6000
"""Arizona""",2.5,> 0,2.5,> 0
"""Arkansas""",2, > 0,2,> 0
"""Arkansas""",4,> 4300,4,> 4300
"""Arkansas""",4.9,> 8500,4.9,> 8500
"""California""",1,in [0..10098],1,> 0
"""California""",2,in [10099..23942],2,> 20198
"""California""",4,in [23943..37788],4,> 47884
"""California""",6,in [37788..52454],6,> 75576
"""California""",8,in [52455..66295],8,> 104910
"""California""",9.3,in [66295..338639],9.3,> 132590
"""California""",10.3,in [338639..406364],10.3,> 677278
"""California""",11.3,in [406364..677275],11.3,> 812728
"""California""",12.3,in [677275..1000000],12.3,> 1000000
"""California""",13.3,> 1000000,13.3,> 1354550
"""Colorado""",4.4,> 0,4.4,> 0
"""Connecticut""",3,> 0,3,> 0
"""Connecticut""",5,> 10000,5,> 20000
"""Connecticut""",5.5,> 50000,5.5,> 100000
"""Connecticut""",6,> 100000,6,> 200000
"""Connecticut""",6.5,> 200000,6.5,> 400000
"""Connecticut""",6.9,> 250000,6.9,> 500000
"""Connecticut""",6.99,> 500000,6.99,> 1000000
"""Delaware""",2.2,> 2000,2.2,> 2000
"""Delaware""",3.9,> 5000,3.9,> 5000
"""Delaware""",4.8,> 10000,4.8,> 10000
"""Delaware""",5.2,> 20000,5.2,> 20000
"""Delaware""",5.55,> 25000,5.55,> 25000
"""Delaware""",6.6,> 60000,6.6,> 60000
"""Georgia""",1,> 0,1,> 0
"""Georgia""",2,> 750,2,> 1000
"""Georgia""",3,> 2250,3,> 3000
"""Georgia""",4,> 3750,4,> 5000
"""Georgia""",5,> 5250,5,> 7000
"""Georgia""",5.75,> 7000,5.75,> 10000
"""Hawaii""",1.4,in [0..2400],1.4,> 0
"""Hawaii""",3.2,in [2400..4800],3.2,> 4800
"""Hawaii""",5.5,in [4800..9600],5.5,> 9600
"""Hawaii""",6.4,in [9600..14400],6.4,> 19200
"""Hawaii""",6.8,in [14400..19200],6.8,> 28800
"""Hawaii""",7.2,in [19200..24000],7.2,> 38400
"""Hawaii""",7.6,in [24000..36000],7.6,> 48000
"""Hawaii""",7.9,in [36000..48000],7.9,> 72000
"""Hawaii""",8.25,in [48000..150000],8.25,> 96000
"""Hawaii""",9,in [150000..175000],9,> 300000
"""Hawaii""",10,in [175000..200000],10,> 350000
"""Hawaii""",11,> 200000,11,> 400000
"""Idaho""",5.8,> 0,5.8,> 0
"""Illinois""",4.95,> 0,4.95,> 0
"""Indiana""",3.15,> 0,3.15,> 0
"""Indiana""",,,,
"""Iowa""",4.4,> 0,4.4,> 0
"""Iowa""",4.82,> 6000,4.82,> 12000
"""Iowa""",5.7,> 30000,5.7,> 60000
"""Iowa""",6,> 75000,6,> 150000
"""Kansas""",3.1,> 0,3.1,> 0
"""Kansas""",5.25,> 15000,5.25,> 30000
"""Kansas""",5.7,> 30000,5.7,> 60000
"""Kentucky""",4.5,> 0,4.5,> 0
"""Louisiana""",1.85,> 0,1.85,> 0
"""Louisiana""",3.5,> 12500,3.5,> 25000
"""Louisiana""",4.24,> 50000,4.245,> 100000
"""Maine""",5.8,> 0,5.8,> 0
"""Maine""",6.75,> 24500,6.75,> 49050
"""Maine""",7.15,> 58050,7.15,> 116100
"""Michigan""",4.25,> 0,4.25,> 0
"""Minnesota""",5.3,> 0,5.35,> 0
"""Minnesota""",6.8,> 30070,6.8,> 43950
"""Minnesota""",7.8,> 98760,7.85,> 174610
"""Minnesota""",9.8,> 183340,9.85,> 304970
"""Missisippi""",5,> 10000,5,> 10000
"""Montana""",1,> 0,1,> 0
"""Montana""",2,> 3600,2,> 3600
"""Montana""",3,> 6300,3,> 6300
"""Montana""",4,> 9700,4,> 9700
"""Montana""",5,> 13000,5,> 13000
"""Montana""",6,> 16800,6,> 16800
"""Montana""",6.75,> 21600,6.75,> 21600
"""Nebraska""",2.46,> 0,2.46,> 0
"""Nebraska""",3.51,> 3700,3.51,> 7390
"""Nebraska""",5.01,> 22170,5.01,> 44350
"""Nebraska""",6.64,> 35730,6.64,> 71460
"""New Jersey""",1.4,> 0,1.4,> 0
"""New Jersey""",1.75,> 20000,1.75,> 20000
"""New Jersey""",3.5,> 35000,2.45,> 50000
"""New Jersey""",5.525,> 40000,3.5,> 70000
"""New Jersey""",6.37,> 75000,5.525,> 80000
"""New Jersey""",8.97,> 500000,6.37,> 150000
"""New Jersey""",10.75,> 1000000,8.97,> 500000
"""New Jersey""",,,10.75,> 1000000
"""New Mexico""",1.7,> 0,1.7,> 0
"""New Mexico""",3.2,> 5500,3.2,> 8000
"""New Mexico""",4.7,> 11000,4.7,> 16000
"""New Mexico""",4.9,> 16000,4.9,> 24000
"""New Mexico""",5.9,> 210000,5.9,> 315000
"""New York""",4,> 0,4,> 0
"""New York""",4.5,> 8500,4.5,> 17150
"""New York""",5.25,> 11700,5.25,> 23600
"""New York""",5.5,> 13900,5.5,> 27900
"""New York""",6,> 80650,6,> 161550
"""New York""",6.85,> 215400,6.85,> 323200
"""New York""",9.65,> 1077550,9.65,> 2155350
"""New York""",10.3,> 5000000,10.3,> 5000000
"""New York""",10.9,> 25000000,10.9,> 25000000
"""North Carolina""",4.75,> 0,4.75,> 0
